序号,文件命名,歌手,歌曲名,错误答案1,错误答案2,错误答案3,曲风,语种,年龄层,所属题库,难意程度(0/1),是否高潮,QQ音乐版权（0/1）,类型,问题
145,井胧 - 把孤独当做晚餐.m4a,井胧,把孤独当做晚餐,我的天空,认真的雪,步云,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
146,任然 - 空空如也.m4a,任然,空空如也,好春光,狂浪,月光,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
147,任素汐 - 胡广生.m4a,任素汐,胡广生,艾瑞巴迪,祖国和少年,宇宙之光,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
148,伏仪 - 记昨日书.m4a,伏仪,记昨日书,撕夜,牧马城市,我好想你,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
149,冯提莫 - 佛系少女.m4a,冯提莫,佛系少女,情深深雨濛濛,余香,失忆,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
150,伍思凯 - 特别的爱给特别的你.m4a,伍思凯,特别的爱给特别的你,我真的受伤了,没那么简单,红豆,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
151,刘可 - 寂寞才说爱.m4a,刘可,寂寞才说爱,橘子汽水,抱一下就好,我怎么这么好看,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
152,刘心 - 好几年.m4a,刘心,好几年,素颜,非酋,断点,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
153,刘瑞琦 - 房间-新版.m4a,刘瑞琦,房间,当冬夜渐暖,空白格,那女孩对我说,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
154,刘至佳 - 说爱你.m4a,刘至佳,说爱你,爱你,步云,错过,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
155,刘若英 - 后来.m4a,刘若英,后来,风筝,你,天黑了,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
156,前男友 - 其实我想说的还有很多.m4a,前男友,其实我想说的还有很多,相思风雨中,心愿便利贴,情非得已,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
157,tfboys - 宠爱.m4a,tfboys,宠爱,爱你,萌萌哒,小鹿乱撞,流行,中文,90后｜00后,正常题库,1,1,0,翻唱,请猜出这首歌的名字
158,"功夫胖KungFuPen,刘聪KEY.L - 孤独症DEMO.m4a",功夫胖,孤独症,还好有你,欢迎光临,种太阳,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
159,半阳 - 一曲相思.m4a,半阳,一曲相思,Shape Of You,Trippy Love,Deep Dusk,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
160,半阳 - 流浪.m4a,半阳,流浪,想太多,还有我,别知己,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
161,华晨宇 - 烟火里的尘埃.m4a,华晨宇,烟火里的尘埃,没那么简单,放个大招给你看,我欢喜喜欢你,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
162,南征北战NZBZ - 哈尼宝贝.m4a,南征北战NZBZ,哈尼宝贝,吻别,如果当时,我们说好的,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
163,南征北战NZBZ - 我的天空.m4a,南征北战NZBZ,我的天空,娃娃脸,红豆,爱一点,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
164,"卢巧音,王力宏 - 好心分手.m4a","卢巧音,王力宏",好心分手,知否知否,海阔天空,难过到这边就好,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
165,卢焱 - 流浪.m4a,卢焱,流浪,小确幸,Forever Love,爱情有时很残忍,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
166,司南 - 烟雨行舟.m4a,司南,烟雨行舟,非酋,猴哥,晴天,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
167,吴青峰 - 起风了.m4a,吴青峰,起风了,煎熬,风筝,有人,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
168,"周冬雨,张一山 - 如果我爱你.m4a",张一山,如果我爱你,别知己,站着等你三千年,我真的受伤了,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
169,周思涵 - 失眠.m4a,周思涵,失眠,新不了情,贰零壹肆,站着等你三千年,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
170,周柏豪 - 你还怕大雨吗(国语).m4a,周柏豪,你还怕大雨吗,绝不会放过,晚风,流星的眼泪,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
171,周汤豪 - 帅到分手.m4a,周汤豪,帅到分手,背叛,野花香,再见只是陌生人,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
172,周深 - 大鱼.m4a,周深,大鱼,家,追光的你,知否知否,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
173,周笔畅 - 最美的期待.m4a,周笔畅,最美的期待,造亿万吨光芒,胡广生,让她降落,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
174,"国风堂,等什么君 - 云兮客.m4a",国风堂,云兮客,一半,你要的全拿走,别怕我伤心,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
175,大壮 - 伪装.m4a,大壮,伪装,我们的歌,粉红色的回忆,绵羊,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
176,"奇然,沈谧仁 - 琵琶行.m4a","奇然,沈谧仁",琵琶行,爱，很简单,庄周,快乐的节日,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
177,姚贝娜 - 御龙吟.m4a,姚贝娜,御龙吟,不搭,和平与爱,还好有你,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
178,娜美 - 醉仙美.m4a,娜美,醉仙美,拜拜,琵琶语,我也很想他,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
179,孔柏森 - 我爱他 (Cover：丁当 ).m4a,孔柏森,我爱他,没有什么不同,别想她,好想你,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
180,孙燕姿 - 第一天.m4a,孙燕姿,第一天,吻别,高唐,远走高飞,流行,中文,90后｜00后,正常题库,（音频有点问题）0,1,0,常规,请猜出这首歌的名字
181,"宫阁,Jony J - 让一让.m4a",Jony J,让一让,咿呀呀,素颜,余情未了,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
182,小咪 - 我走后.m4a,小咪,我走后,我被情伤,爱情惹的祸,我的歌声里,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
183,小星星Aurora - 坠落星空.m4a,小星星Aurora,坠落星空,爱如潮水,路太弯,你好可爱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
184,"小潘潘（潘柚彤）,小峰峰（陈峰） - 学猫叫.m4a",小潘潘,学猫叫,小确幸,一念之间,丑八怪,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
185,小眼鑫 - 犯错 (cover：斯琴高丽／顾峰).m4a,小眼鑫,犯错,黎明前的黑暗,后来的我们,不想睡,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
186,男才女貌 - 外滩十八号.m4a,男才女貌,外滩十八号,恋人未满,爱情错觉,去年夏天,流行,中文,80后｜90后,正常题库,（音频有点问题）0,1,0,常规,请猜出这首歌的名字
187,岑宁儿 - 追光者.m4a,岑宁儿,追光者,咿呀呀,宝贝,个人简介,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
188,广东雨神 - 不下雪的广东.m4a,广东雨神,不下雪的广东,青梅竹马,你也会像我一样,湫兮如风,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
189,广东雨神 - 广东十年爱情故事.m4a,广东雨神,广东十年爱情故事,让我给你买包烟,突然想起你,最后我们没在一起,流行,粤语,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
190,张Pd - 生而为人.m4a,张Pd,生而为人,赢在江湖,不得不爱,浪人琵琶,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
191,张学友 - 烦恼歌.m4a,张学友,烦恼歌,浪子回头,你好,不仅仅是喜欢,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
192,张宇 - 给你们.m4a,张宇,给你们,我曾,月球下的人,一路上有你,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
193,张小九 - 余香.m4a,张小九,余香,手心的蔷薇,高唐,尽头,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
194,张紫豪 - 可不可以.m4a,张紫豪,可不可以,我要吃肉肉,生如夏花,带你去旅行,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
195,张雪飞 - 走心小卖家.m4a,张雪飞,走心小卖家,下一秒,缘分一道桥,叮叮梆梆,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
196,张震岳 - 小宇.m4a,张震岳,小宇,修炼爱情,陪我做梦,几个你,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
197,张韶涵 - 欧若拉 (Live).m4a,张韶涵,欧若拉,滚烫的青春,舒伯特玫瑰,我要买,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
198,很美味 - 东西.m4a,很美味,东西,卖报歌,从此以后,没那么简单,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
199,林俊杰 - 不为谁而作的歌 (Live).m4a,林俊杰,不为谁而作的歌,对花,遇到,演员,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
200,"徐梦圆,冯提莫 - 玻璃糖.m4a",徐梦圆,玻璃糖,学不会,小草,下坠,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
201,"徐梦圆,双笙 - 藏.m4a",徐梦圆,藏,生而为人,学不会,偏爱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
202,"徐秉龙,沈以诚 - 白羊.m4a",沈以诚,白羊,快乐的小歌手,迷人的危险,造亿万吨光芒,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
203,罗大佑 - 恋曲1990.m4a,罗大佑,恋曲1990,光阴的故事,童年,东方之珠,流行,中文,80后｜90后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
204,戴羽彤 - 那女孩对我说（女生正式版）.m4a,戴羽彤,那女孩对我说,想自由,晚风,不谓侠,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
205,房东的猫 - 云烟成雨.m4a,房东的猫,云烟成雨,下雨天,你笑起来真好看,爱一点,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
206,排骨教主 - 牵丝戏.m4a,排骨教主,牵丝戏,你,你看到的我,有一种悲伤,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
207,新乐尘符 - 123我爱你.m4a,新乐尘符,123我爱你,放风筝,偏爱,心太软,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
208,方大同 - 春风吹.m4a,方大同,春风吹,野花香,拜拜,余香,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
209,方雅贤 - 遇到.m4a,方雅贤,遇到,牧马城市,忘不掉的伤,最燃的冒险,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
210,易欣 - 心碎.m4a,易欣,心碎,有人,像鱼,乘着歌声的翅膀,流行,粤语,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
211,曾一 - 你的世界到底有了谁.m4a,曾一,你的世界到底有了谁,不要你为难,归去来兮,可惜没如果,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
212,曾惜 - 讲真的.m4a,曾惜,讲真的,一直,花的嫁纱,想自由,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
213,曾轶可 - 有可能的夜晚.m4a,曾轶可,有可能的夜晚,我就喜欢宅在家,和你在一起,路人,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
214,朱主爱 - Malaysia Chabor.m4a,朱主爱,Malaysia Chabor,花仙子之歌,生如夏花,撕夜,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
215,朴树 - 平凡之路.m4a,朴树,平凡之路,庐州月,奶茶加糖,得意笑,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
216,"李俊佑,小潘潘（潘柚彤） - 宠坏.m4a",李俊佑,宠坏,此生不换,幸运女孩,就像个男人,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
217,李圣杰 - 你那么爱她.m4a,李圣杰,你那么爱她,我喜欢,续夏目友人帐,讲真的,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
218,李宇春 - 下个，路口，见.m4a,李宇春,下个，路口，见,约定,假装快乐,绝不会放过,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
219,"李昕融,樊桐舟,李凯稠 - 你笑起来真好看.m4a",李昕融,你笑起来真好看,庆功酒,爱情错觉,新鞋子旧鞋子,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
220,李荣浩 - 我看着你的时候.m4a,李荣浩,我看着你的时候,三月里的小雨,我走后,你好可爱,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
221,李荣浩 - 麻雀.m4a,李荣浩,麻雀,爱你,气球,最美婚礼,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
222,罗志祥 - 狐狸精.m4a,罗志祥,狐狸精,无理取闹,恶作剧,专属情歌,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
223,杨宗纬 - 其实都没有.m4a,杨宗纬,其实都没有,把孤独当做晚餐,魔性小孩,一笑倾城,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
224,杨胖雨 - 情深深雨濛濛.m4a,杨胖雨,情深深雨濛濛,即兴,隔壁泰山,雅俗共赏,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
225,林俊呈 - 东西.m4a,林俊呈,东西,小白兔乖乖,海草舞,老街,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
226,林俊杰 - 一千年以后.m4a,林俊杰,一千年以后,默,绵羊,骆驼,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
227,林俊杰 - 修炼爱情.m4a,林俊杰,修炼爱情,目不转睛,你还怕大雨吗,空空如也,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
228,林俊杰 - 只对你有感觉.m4a,林俊杰,只对你有感觉,盔甲,水星记,夜来香,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
229,林俊杰 - 可惜没如果.m4a,林俊杰,可惜没如果,倔强,春风吹,青柠,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
230,林俊杰 - 曹操.m4a,林俊杰,曹操,感谢你曾来过,还好有你在,爸爸妈妈,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
231,林俊杰 - 江南.m4a,林俊杰,江南,至少还有我,绵羊,此生不换,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
232,林俊杰 - 爱笑的眼睛.m4a,林俊杰,爱笑的眼睛,会痛的石头,去年夏天,世界上的另一个我,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
233,林俊杰 - 第几个100天.m4a,林俊杰,第几个一百天,预谋,表白,分手快乐,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
234,林俊杰 - 背对背拥抱.m4a,林俊杰,背对背拥抱,第二杯半价,我的名字,感谢你曾经来过,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
235,林俊杰 - 那些你很冒险的梦.m4a,林俊杰,那些你很冒险的梦,水星记,夜来香,只想对你说,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
236,林俊杰 - 醉赤壁.m4a,林俊杰,醉赤壁,意外,给陌生的你听,卡布奇诺,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
237,"林俊杰,蔡卓妍 - 小酒窝.m4a",林俊杰,小酒窝,会痛的石头,倒数,听说,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
238,"林俊杰,金莎 - 被风吹过的夏天.m4a",林俊杰,被风吹过的夏天,断点,就是爱你,爱呀,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
239,Leonard _ 王博文 - 乌龟.m4a,王博文,乌龟,该不该,雅俗共赏,一个人去巴黎,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
240,林子轩 - 低端的鸡蛋.m4a,林子轩,低端的鸡蛋,西安人的歌,不谓侠,杨花落尽子规啼,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
241,林宥嘉 - 全世界谁倾听你.m4a,林宥嘉,全世界谁倾听你,你，好不好,爱呀,海草舞,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
242,林宥嘉 - 说谎.m4a,林宥嘉,说谎,身骑白马,古驰古驰,一百万个可能,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
243,枯木逢春 - 这一生关于你的风景.m4a,枯木逢春,这一生关于你的风景,你就不要想起我,感谢你曾经来过,像我这样的人,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
244,柏松 - 世间美好与你环环相扣.m4a,柏松,世间美好与你环环相扣,千本樱,你，好不好,请你先说好,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
245,栗先达 - 觅香.m4a,栗先达,觅香,只对你有感觉,空空如也,好像掉进爱情海里,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
246,梁咏琪 - 胆小鬼.m4a,梁咏琪,胆小鬼,Apologize,情歌王,三角题,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
247,毛不易 - 消愁.m4a,毛不易,消愁,只想对你说,吃胖了你就别跑了,气球,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
248,永彬Ryan.B - 放个大招给你看.m4a,永彬Ryan.B,放个大招给你看,心愿便利贴,一点点,大鱼,流行｜EDM,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
249,"永彬Ryan.B,AY楊佬叁 - 再也没有.m4a",永彬Ryan.B,再也没有,专属情歌,环游星空,恶作剧,流行｜EDM,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
250,"永彬Ryan.B,周延英（英子-effie） - 没有理由.m4a",永彬Ryan.B,没有理由,当真,时间的过客,西安人的歌,流行｜hiphop,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
251,"永彬Ryan.B,狄迪（D-DAY） - 小鹿乱撞.m4a",永彬Ryan.B,小鹿乱撞,七月上,绿色,学不会,流行｜hiphop,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
252,"潘玮柏,G.E.M.邓紫棋,艾热 AIR - 攀登 (Live).m4a",G.E.M.邓紫棋,攀登,大鱼,当真,有一种悲伤,流行｜hiphop,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
253,"潘玮柏,SeanT肖恩恩,黄旭 - 爱你3000 (Live).m4a",SeanT肖恩恩,爱你3000,杨花落尽子规啼,分手快乐,沙漠骆驼,流行｜hiphop,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
254,"潘玮柏,张韶涵 - 快乐崇拜.m4a",张韶涵,快乐崇拜,孽海记,即兴,键盘Solo,流行｜hiphop,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
255,"潘玮柏,弦子 - 不得不爱.m4a",潘玮柏,不得不爱,隔壁泰山,表白,可不可以,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
256,火箭少女101 - 卡路里.m4a,火箭少女101,卡路里,来来往往,一个人去巴黎,一万次悲伤,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
257,焦迈奇 - 我的名字.m4a,焦迈奇,我的名字,段点,好像掉进爱情海里,好嗨哟,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
258,燕池 - 九重山.m4a,燕池,九重山,突然好想你,离人愁,背对背拥抱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
259,牛奶咖啡 - 咖喱咖喱.m4a,牛奶咖啡,咖喱咖喱,手放开,段点,情人迷,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
260,王俊琪 - 我多喜欢你，你会知道.m4a,王俊琪,我多喜欢你会知道,肆无忌惮,走马,该不该,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
261,王力宏 - 你不知道的事.m4a,王力宏,你不知道的事,没有你的陕西省,第二杯半价,9420,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
262,王力宏 - 唯一.m4a,王力宏,唯一,BOOM,醉仙美,其实,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
263,王力宏 - 大城小爱(Live).m4a,王力宏,大城小爱,听说,少一点天分,一个人想着一个人,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
264,王力宏 - 美.m4a,王力宏,美,过得好吗,Hero,你一定要幸福,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
265,王力宏 - 龙的传人.m4a,王力宏,龙的传人,佛系少女,篝火旁,你不是真正的快乐,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
266,王嘉尔 - Papillon.m4a,王嘉尔,Papillon,If,忽然之间,不得不爱,流行｜hiphop,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
267,王大文 - 慢半拍.m4a,王大文,慢半拍,寂寞先生,最美情侣,Hero,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
268,王大毛 - 去年夏天.m4a,王大毛,去年夏天,你不是真正的快乐,Me Too,环游星空,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
269,"王天放FrankiD,丁爽 - Fight For It(Prod by.大眼炮).m4a",丁爽,Fight For It,再见 你好,花开的声音,盔甲,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
270,王小帅 - 最近 (正式版).m4a,王小帅,最近,9420,猜不透,遥远的你,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
271,自然卷 - 坐在巷口的那对男女.m4a,自然卷,坐在巷口的那对男女,Boom Boom,La La La,你好再见,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
272,"王恩信Est,二胖u - 飞.m4a",王恩信Est,飞,Girls Like You,至少还有我,当真,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
273,大柯 _ 夜尢 - 失眠飞行.m4a,夜尢,失眠飞行,往后余生,其实,带你去旅行,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
274,王泽科 - 晚安（片段）（Cover：颜人中）.m4a,王泽科,晚安,我们不一样,再见 你好,New Soul,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
275,王矜霖 - 她妈妈不喜欢我.m4a,王矜霖,她妈妈不喜欢我,好像掉进爱情海里,空白格,把孤独当做晚餐,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
276,王菲 - 匆匆那年.m4a,王菲,匆匆那年,小了白了兔,温柔,醉仙美,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
277,王贰浪 - 少一点天分（Cover 孙盛希）.m4a,王贰浪,少一点天分,长腿叔叔,Disco Inferno,爱你是你还是你,流行,中文,80后｜90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
278,田一龙 - 一定要爱你(网络版).m4a,田一龙,一定要爱你,F.I.R.-月牙湾,最后一次分离,文爱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
279,田馥甄 - 小幸运.m4a,田馥甄,小幸运,分手快乐,爸爸妈妈,说谎,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
280,田馥甄 - 魔鬼中的天使.m4a,田馥甄,魔鬼中的天使,你打不过我吧,三角题,遇见,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
281,白小白 - 最美情侣.m4a,白小白,最美情侣,做我的猫,出山,等一分钟,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
282,程佳佳 - 山楂树之恋.m4a,程佳佳,山楂树之恋,Colors,不在,好久不见,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
283,周杰伦 - 晴天.m4a,周杰伦,晴天,告白气球,搁浅,夜曲,流行,中文,80后｜91后,正常题库,0,1,0,常规,请猜出这首歌的名字
284,苏运莹 - 野子.m4a,苏运莹,野子,海,画,谁伴我闯荡,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
285,等什么君 - 关山酒.m4a,等什么君,关山酒,一个人去巴黎,沙漠骆驼,关于你,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
286,等什么君 - 谁念西风独自凉.m4a,等什么君,谁念西风独自凉,老街,断点,当妮走了,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
287,等什么君 - 辞九门回忆.m4a,等什么君,辞九门回忆,走马,莫妮卡,长腿叔叔,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
288,米津玄師 - Lemon（局部）.m4a,米津玄師,Lemon,卡布奇诺,突然好想你,浪够了再回来,流行,日语,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
289,红双囍 - 小姐姐.m4a,红双囍,小姐姐,时间的过客,想你,念旧,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
290,翁大涵 - 莫愁.m4a,翁大涵,莫愁,莫妮卡,修炼爱情,温柔,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
291,老二道（半吨兄弟） - 爱情错觉（Cover：王娅）.m4a,老二道,爱情错觉,浪够了再回来,太多,备爱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
292,胜屿 - 着迷.m4a,胜屿,着迷,有何不可,此生不换,至少还有我,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
293,胡彦斌 - 你要的全拿走.m4a,胡彦斌,你要的全拿走,另一个童话,越来越不懂,感谢你曾来过,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
294,胡彦斌 - 高手.m4a,胡彦斌,高手,淘汰,学不会,我的名字,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
