序号,文件命名,歌手,歌曲名,错误答案1,错误答案2,错误答案3,曲风,语种,年龄层,所属专场,难意程度,是否高潮,QQ音乐版权（0/1）
1078,王琪 - 万爱千恩.2.mp3,王琪,万爱千恩,印记,文爱,蒲公英,流行热,中文,00后90后,单人闯关,P0,是,
1079,周杰伦 - 不能说的秘密.2.mp3,周杰伦,不能说的秘密,澹月秋千,止战之殇,我要你,流行热,中文,00后90后,单人闯关,P0,是,
1080,陈奕迅 - 最佳损友.2.mp3,陈奕迅,最佳损友,偶像万万岁,野狼Disco,我怀念的,流行热,中文,00后90后,单人闯关,P0,是,
1081,cherry夕晴 - 空欢喜.2.mp3,cherry夕晴,空欢喜,我要买,胡萝卜须,寸步不离,流行热,中文,00后90后,单人闯关,P0,是,
1082,誓言 - 求佛.2.mp3,誓言,求佛,半生你我,祖国和少年,小情书,流行热,中文,00后90后,单人闯关,P0,是,
1083,邓丽君 - 我只在乎你.2.mp3,邓丽君,我只在乎你,杏花弦外雨,我们说好的,醉赤壁,流行热,中文,00后90后,单人闯关,P0,是,
1084,任然 - 后继者.2.mp3,任然,后继者,我的滑板鞋,红尘女子,他一定很爱你,流行热,中文,00后90后,单人闯关,P0,是,
1085,鞠文娴 - BINGBIAN病变.2.mp3,鞠文娴,BINGBIAN病变,As I Am,Let You Go,The Middle,流行热,中文,00后90后,单人闯关,P0,是,
1086,郑源 - 包容.2.mp3,郑源,包容,幸福多了就是水,我乐意,隔壁泰山,流行热,中文,00后90后,单人闯关,P0,是,
1087,尚士达 - 生而为人.2.mp3,尚士达,生而为人,半世游,飞天,野花香,流行热,中文,00后90后,单人闯关,P0,是,
1088,莫文蔚 - 慢慢喜欢你.2.mp3,莫文蔚,慢慢喜欢你,贪欢,姑娘别旅行,伪装,流行热,日语,00后90后,单人闯关,P0,是,
1089,图小图 - 失忆.2.mp3,图小图,失忆,东流,最好的答案,时间煮爱,流行热,中文,00后90后,单人闯关,P0,是,
1090,Ellie Goulding _ Calvin Harris - Outside.2.mp3,Ellie Goulding,Outside,The Prologue,Blurred Lines,Better Now,流行热,英文,00后90后,单人闯关,P0,是,
1091,周杰伦 _ 杨瑞代 - 爱的飞行日记.2.mp3,周杰伦,爱的飞行日记,我的地盘,水星记,若雪,流行热,中文,00后90后,单人闯关,P0,是,
1092,周蕙 - 约定.2.mp3,周蕙,约定,小宇,无与伦比的美丽,大海,流行热,中文,00后90后,单人闯关,P0,是,
1093,曲肖冰 - 静悄悄.2.mp3,曲肖冰,静悄悄,还我,下个路口等我,跳完这支舞吧,流行热,中文,00后90后,单人闯关,P0,是,
1094,张国荣 - 沉默是金.2.mp3,张国荣,沉默是金,说好的幸福呢,她的眼睛会唱歌,丫头,流行热,中文,00后90后,单人闯关,P0,是,
1095,蒋雪儿 - 莫问归期.2.mp3,蒋雪儿,莫问归期,卡路里,天秤座,木偶人,流行热,中文,00后90后,单人闯关,P0,是,
1096,Joel Adams - Please Don't Go.2.mp3,Joel Adams,Please Don't Go,No One,Purpose,Dark Horse,流行热,英文,00后90后,单人闯关,P0,是,
1097,梁静茹 - 可惜不是你.2.mp3,梁静茹,可惜不是你,叙酣宴,没正业,音乐死党,流行热,中文,00后90后,单人闯关,P0,是,
1098,周杰伦 - 七里香.2.mp3,周杰伦,七里香,舒伯特玫瑰,听说爱情回来过,快乐帮,流行热,中文,00后90后,单人闯关,P0,是,
1099,Katie Sky - Monsters.2.mp3,Katie Sky,Monsters,Deja Vu,Lie,Let You Go,流行热,英文,00后90后,单人闯关,P0,是,
1100,胡66 - 空空如也.2.mp3,胡66,空空如也,对不起,摇Shake,侧脸,流行热,中文,00后90后,单人闯关,P0,是,
1101,en - 嚣张.2.mp3,en,嚣张,甜甜的,别再闹了,下雨了,流行热,中文,00后90后,单人闯关,P0,是,
1102,周杰伦 - 最长的电影.2.mp3,周杰伦,最长的电影,龙卷风,轮回者,多一个,流行热,中文,00后90后,单人闯关,P0,是,
1103,杨丞琳 - 节日快乐.2.mp3,杨丞琳,节日快乐,爷爷泡的茶,飞云之下,梦想家的爱情,流行热,中文,00后90后,单人闯关,P0,是,
1104,哼哼是李韩宇 - 从前的我快乐过.2.mp3,李韩宇,从前的我快乐过,菊花台,一介书生,忘不掉的昨天,流行热,中文,00后90后,单人闯关,P0,是,
1105,小阿枫 - 我要找到你.2.mp3,小阿枫,我要找到你,素颜,演员,郑州郑州,流行热,中文,00后90后,单人闯关,P0,是,
1106,李荣浩 - 戒烟.2.mp3,李荣浩,戒烟,神武相思入卷,9420,狂浪,流行热,中文,00后90后,单人闯关,P0,是,
1107,太一 - Lutra.3.mp3,太一,Lutra,Devil In Me,Wildest Dreams,Ghost,流行热,英文,00后90后,单人闯关,P0,是,
1108,周杰伦 - 听妈妈的话.2.mp3,周杰伦,听妈妈的话,不羡明月知,渡我不渡她,夜晚亲爱的朋友,流行热,中文,00后90后,单人闯关,P0,是,
1109,阿冗 - 你的答案.2.mp3,阿冗,你的答案,焚心劫,你不是真正的快乐,环游星空,流行热,中文,00后90后,单人闯关,P0,是,
1110,郑源 - 爱情码头.2.mp3,郑源,爱情码头,放开手别挽留,Fat Boy Flow,氧气,流行热,中文,00后90后,单人闯关,P0,是,
1111,王恰恰 - 撕夜.2.mp3,王恰恰,撕夜,上海一九四三,想把我唱给你听,巅峰之上,流行热,中文,00后90后,单人闯关,P0,是,
1112,孙燕姿 - 尚好的青春.2.mp3,孙燕姿,尚好的青春,浮生尽·心错,后来的我们,晚风,流行热,中文,00后90后,单人闯关,P0,是,
1113,等什么君 - 关山酒.2.mp3,等什么君,关山酒,黄金甲,Queendom,无知的癫狂者,流行热,中文,00后90后,单人闯关,P0,是,
1114,Selena Gomez _ Marshmello - Wolves.2.mp3,Selena Gomez,Wolves,Bad,Locked Away,Long Live,流行热,英文,00后90后,单人闯关,P0,是,
1115,许冠杰 - 半斤八两.2.mp3,许冠杰,半斤八两,本草纲目,我赖你,喜剧之王,流行热,中文,00后90后,单人闯关,P0,是,
1116,肖战 - 两只老虎.2.mp3,肖战,两只老虎,缠心莲,演员,庄周,流行热,中文,00后90后,单人闯关,P0,是,
1117,王俊凯 _ 蔡依林 - 心引力.2.mp3,王俊凯,心引力,被你宠爱,钗头凤,转眼一瞬间,流行热,中文,00后90后,单人闯关,P0,是,
1118,陈瑞 - 白狐.2.mp3,陈瑞,白狐,勉为其难,身骑白马,剪不断,流行热,中文,00后90后,单人闯关,P0,是,
1119,陈奕迅 - 红玫瑰.2.mp3,陈奕迅,红玫瑰,裸奔的蜗牛,暧昧,西海情歌,流行热,中文,00后90后,单人闯关,P0,是,
1120,汪苏泷 - 风度.2.mp3,汪苏泷,风度,桃花笑,过去已经太多,春来了,流行热,中文,00后90后,单人闯关,P0,是,
1121,邰正宵 - 千纸鹤.2.mp3,邰正宵,千纸鹤,好久不见,Taste,错的人,流行热,中文,00后90后,单人闯关,P0,是,
1122,周传雄 - 黄昏.2.mp3,周传雄,黄昏,超级英雄狂想曲,宣言,我的歌,流行热,中文,00后90后,单人闯关,P0,是,
1123,三浦透子 - movie edit.2.mp3,三浦透子,movie edit,Graveyard,Enchanted,I Kissed a Girl,流行热,日语,00后90后,单人闯关,P0,是,
1124,周杰伦 - 半岛铁盒.2.mp3,周杰伦,半岛铁盒,末班,卖报歌,免费教学录影带,流行热,中文,00后90后,单人闯关,P0,是,
1125,杨千嬅 - 假如让我说下去.2.mp3,杨千嬅,假如让我说下去,天涯过客,凡人歌,我们都是好孩子,流行热,中文,00后90后,单人闯关,P0,是,
1126,袁娅维 - 说散就散.2.mp3,袁娅维,说散就散,云中一梦,从前的我,各奔东西,流行热,中文,00后90后,单人闯关,P0,是,
1127,飞儿乐团 - 你的微笑.2.mp3,飞儿乐团,你的微笑,临水照花,意外,最了不起的你,流行热,中文,00后90后,单人闯关,P0,是,
1128,卢喃 - 思念的牢.2.mp3,卢喃,思念的牢,半兽人,Lose Yourself,九月清晨,流行热,中文,00后90后,单人闯关,P0,是,
1129,肖战 - 满足.2.mp3,肖战,满足,探戈就是趟着走,酒干倘卖无,如爱所愿,流行热,中文,00后90后,单人闯关,P0,是,
1130,张玉华 - 原谅.2.mp3,张玉华,原谅,飞翔,猴哥,无人守夜的时光,流行热,中文,00后90后,单人闯关,P0,是,
1131,李学仕 - 直觉.2.mp3,李学仕,直觉,面团,逝去的歌,离开盐城,流行热,中文,00后90后,单人闯关,P0,是,
1132,Ice Paper - 心如止水.2.mp3,Ice Paper,心如止水,安全第一条,G.O.D,请为我鼓掌吧,流行热,中文,00后90后,单人闯关,P0,是,
1133,永彬Ryan.B - 放个大招给你看.2.mp3,永彬Ryan.B,放个大招给你看,典狱司,你在，不在,像我这样的人,流行热,中文,00后90后,单人闯关,P0,是,
1134,音阙诗听 _ 赵方婧 - 芒种.2.mp3,赵方婧,芒种,西安人的歌,浪人琵琶,我不愿明白,流行热,中文,00后90后,单人闯关,P0,是,
1135,林俊杰 - 那些你很冒险的梦.2.mp3,林俊杰,那些你很冒险的梦,吻得太逼真,几个你,简单生活,流行热,中文,00后90后,单人闯关,P0,是,
1136,许嵩 - 雨幕.2.mp3,许嵩,雨幕,你会遇见更好的人,来自天堂的魔鬼,我知道,流行热,中文,00后90后,单人闯关,P0,是,
1137,陈瑞 _ 马庆斌 - 在没有你的时候.2.mp3,马庆斌,在没有你的时候,小棋童,敷衍,春风十里不如你,流行热,中文,00后90后,单人闯关,P0,是,
1138,周杰伦 - 晴天.2.mp3,周杰伦,晴天,撒浪嘿哟,心动,不谓侠,流行热,中文,00后90后,单人闯关,P0,是,
1139,刘旭阳 - 把孤独当晚餐.2.mp3,刘旭阳,把孤独当晚餐,尘埃,带刺的玫瑰,欢迎光临,流行热,中文,00后90后,单人闯关,P0,是,
1140,G.E.M. 邓紫棋 - 桃花诺.2.mp3,G.E.M. 邓紫棋,桃花诺,悟空,等到烟火清凉,古驰古驰,流行热,中文,00后90后,单人闯关,P0,是,
1141,B.o.B _ Bruno Mars - Nothin' On You.2.mp3,B.o.B,Nothin' On You,Tangerine,No Brainer,Tim McGraw,流行热,英文,00后90后,单人闯关,P0,是,
1142,阿悠悠 - 一生与你擦肩而过.2.mp3,阿悠悠,一生与你擦肩而过,苦涩,不再联系,苍狼大地,流行热,中文,00后90后,单人闯关,P0,是,
1143,焦迈奇 - 我的名字.2.mp3,焦迈奇,我的名字,忍者,我是柳畅源,秘密,流行热,中文,00后90后,单人闯关,P0,是,
1144,岑宁儿 - 追光者.2.mp3,岑宁儿,追光者,花满楼,多余的解释,野火,流行热,中文,00后90后,单人闯关,P0,是,
1145,郭顶 - 水星记.2.mp3,郭顶,水星记,念诗之王,造亿万吨光芒,庐州月,流行热,中文,00后90后,单人闯关,P0,是,
1146,周杰伦 - 青花瓷.2.mp3,周杰伦,青花瓷,对不起我爱你,从前慢,客官不可以,流行热,中文,00后90后,单人闯关,P0,是,
1147,五月天 - 玫瑰少年.2.mp3,五月天,玫瑰少年,丛林法则,莫妮卡,Now You See Me,流行热,中文,00后90后,单人闯关,P0,是,
1148,周杰伦 - 搁浅.2.mp3,周杰伦,搁浅,回答,拜拜,生生世世爱,流行热,中文,00后90后,单人闯关,P0,是,
1149,阿悠悠 - 责无旁贷.2.mp3,阿悠悠,责无旁贷,走心小卖家,你看我可不可爱,奶茶加糖,流行热,中文,00后90后,单人闯关,P0,是,
1150,齐秦 _ 莫文蔚 - 可惜了.2.mp3,莫文蔚,可惜了,挣它一个亿,断点,丑八怪,流行热,中文,00后90后,单人闯关,P0,是,
1151,周杰伦 - 稻香.2.mp3,周杰伦,稻香,今夜你在哪里,七月凉山,十分之一,流行热,中文,00后90后,单人闯关,P0,是,
1152,邰正宵 - 找一个字代替.2.mp3,邰正宵,找一个字代替,失眠飞行,男孩,成全,流行热,中文,00后90后,单人闯关,P0,是,
1153,王力宏 - 在梅边.2.mp3,王力宏,在梅边,妻书,悠殇叹,消磨,流行热,中文,00后90后,单人闯关,P0,是,
1154,Russ - Psycho Pt. 2.2.mp3,Russ,"Psycho, Pt",Let Me Love You,Birthday,Now Or Never,流行热,英文,00后90后,单人闯关,P0,是,
1155,刘德华 - 来生缘.2.mp3,刘德华,来生缘,情非得已,Hotline,传说,流行热,中文,00后90后,单人闯关,P0,是,
1156,DAWN - MONEY.2.mp3,DAWN,MONEY,Gasoline,Somebody,24K Magic,流行热,英文,00后90后,单人闯关,P0,是,
1157,周杰伦 - 开不了口.2.mp3,周杰伦,开不了口,小苹果,芒种,当我寂寞的时候,流行热,中文,00后90后,单人闯关,P0,是,
1158,飞儿乐团 - 千年之恋.2.mp3,飞儿乐团,千年之恋,白色风车,神话与传说,不是冲动,流行热,中文,00后90后,单人闯关,P0,是,
1159,小咪 - 我走后.2.mp3,小咪,我走后,醉仙美,GDFR,Count on Me,流行热,中文,00后90后,单人闯关,P0,是,
1160,侯旭 - 逃.2.mp3,侯旭,逃,爱情悬崖,当真,远方,流行热,中文,00后90后,单人闯关,P0,是,
1161,BEYOND - 海阔天空.2.mp3,BEYOND,海阔天空,听爸爸的话,真的好想你,你最珍贵,流行热,中文,00后90后,单人闯关,P0,是,
1162,黄义达 - 那女孩对我说.2.mp3,黄义达,那女孩对我说,青衫薄,时间停止,伊斯坦堡,流行热,中文,00后90后,单人闯关,P0,是,
1163,周杰伦 - 断了的弦.2.mp3,周杰伦,断了的弦,等你下课,尽头,迷魂曲,流行热,中文,00后90后,单人闯关,P0,是,
1164,展展与罗罗 - 沙漠骆驼.2.mp3,展展与罗罗,沙漠骆驼,20岁的某一天,好春光,搁浅,流行热,中文,00后90后,单人闯关,P0,是,
1165,CRITTY - 不谓侠.2.mp3,CRITTY,不谓侠,长安诀,致姗姗来迟的你,初恋粉色系,流行热,中文,00后90后,单人闯关,P0,是,
1166,周慧敏 - 最爱.2.mp3,周慧敏,最爱,回到原点,哪吒,猜不透,流行热,中文,00后90后,单人闯关,P0,是,
1167,丸子呦 - 广寒宫.2.mp3,丸子呦,广寒宫,天亮以前说再见,渲染离别,闪耀的日子,流行热,中文,00后90后,单人闯关,P0,是,
1168,隔壁老樊 - 红色高跟鞋.2.mp3,隔壁老樊,红色高跟鞋,酒吧叙事体,周大侠,十年,流行热,中文,00后90后,单人闯关,P0,是,
1169,范玮琪 _ 张韶涵 - 如果的事.2.mp3,张韶涵,如果的事,兴风作浪,新不了情,最美的安排,流行热,中文,00后90后,单人闯关,P0,是,
1170,于文文 - 体面.2.mp3,于文文,体面,慢慢懂,此生不换,醉仙美,流行热,中文,00后90后,单人闯关,P0,是,
1171,光良 - 第一次.2.mp3,光良,第一次,我想,红色高跟鞋,橄榄树,流行热,中文,00后90后,单人闯关,P0,是,
1172,张靓颖 - 天下无双.2.mp3,张靓颖,天下无双,我也很想他,大鱼,夜歌,流行热,中文,00后90后,单人闯关,P0,是,
1173,小阿七 - 那女孩对我说.2.mp3,小阿七,那女孩对我说,魔术先生,七月上,素颜,流行热,中文,00后90后,单人闯关,P0,是,
1174,周杰伦 - 花海.2.mp3,周杰伦,花海,明明就,风筝,不见白头,流行热,中文,00后90后,单人闯关,P0,是,
1175,en - 暗示分离.2.mp3,en,暗示分离,你好,战舞,人生路上,流行热,中文,00后90后,单人闯关,P0,是,
1176,胡66 - 浪人琵琶.2.mp3,胡66,浪人琵琶,飘移,兰亭疾叙,等你回家,流行热,中文,00后90后,单人闯关,P0,是,
1177,阿杜 - 他一定很爱你.2.mp3,阿杜,他一定很爱你,来自天堂的魔鬼,转眼一瞬间,忘不了,流行热,中文,00后90后,单人闯关,P0,是,
1178,陈势安 - 天后.2.mp3,陈势安,天后,星球坠落,这个年纪,末日审判,流行热,中文,00后90后,单人闯关,P0,是,
1179,杨千嬅 - 勇.2.mp3,杨千嬅,勇,我爱他,不搭,造亿万吨光芒,流行热,中文,00后90后,单人闯关,P0,是,
1180,周杰伦 - 蒲公英的约定.2.mp3,周杰伦,蒲公英的约定,柳岸旁,只对你有感觉,我愿,流行热,中文,00后90后,单人闯关,P0,是,
1181,雅楠 - 我承认我怕黑.2.mp3,雅楠,我承认我怕黑,听妈妈的话,Game,到底爱我不爱,流行热,中文,00后90后,单人闯关,P0,是,
1182,易烊千玺 - I Adore You.2.mp3,易烊千玺,I Adore You,Been You,Boyfriend,Bad At Love,流行热,英文,00后90后,单人闯关,P0,是,
1183,林俊杰 - 崇拜 (Live).2.mp3,林俊杰,崇拜,说爱你,一个人想着一个人,孩子王,流行热,中文,00后90后,单人闯关,P0,是,
1184,I-DLE - LION.2.mp3,I DLE,LION,Pumped Up Kicks,22,Red,流行热,英文,00后90后,单人闯关,P0,是,
1185,易烊千玺 - Fall.2.mp3,易烊千玺,Fall,For Him,Sucker for You,C'mon C'mon,流行热,英文,00后90后,单人闯关,P0,是,
1186,薛之谦 - 笑场.2.mp3,薛之谦,笑场,步云,外地人,梦想启动,流行热,中文,00后90后,单人闯关,P0,是,
1187,Two Steps From Hell _ Thomas Bergersen - Star Sky.2.mp3,Thomas Bergersen,Star Sky,All Night,Psycho,Walking On Air,流行热,英文,00后90后,单人闯关,P0,是,
1188,杨千嬅 - 再见二丁目.2.mp3,杨千嬅,再见二丁目,十里烟波,Once In A,可乐,流行热,中文,00后90后,单人闯关,P0,是,
1189,周杰伦 - 爷爷泡的茶.2.mp3,周杰伦,爷爷泡的茶,同一种调调,出路,庄周,流行热,中文,00后90后,单人闯关,P0,是,
1190,苏晗 - 离岸.2.mp3,苏晗,离岸,国王,一万小时,远方,流行热,中文,00后90后,单人闯关,P0,是,
1191,李代沫 - 这就是爱情.2.mp3,李代沫,这就是爱情,环游世界,别急着说再见,时间煮雨,流行热,中文,00后90后,单人闯关,P0,是,
1192,陈粒 - 光.2.mp3,陈粒,光,一点点,新鞋子旧鞋子,懦夫,流行热,中文,00后90后,单人闯关,P0,是,
1193,周深 - 过尽千帆.2.mp3,周深,过尽千帆,就这样,蔓延旅行,我想娶你了,流行热,中文,00后90后,单人闯关,P0,是,
1194,杨千嬅 - 处处吻.2.mp3,杨千嬅,处处吻,天津变了,苏黎世的从前,小星星,流行热,中文,00后90后,单人闯关,P0,是,
1195,薛之谦 - 演员.2.mp3,薛之谦,演员,醉花阴,春风十里,心无疆界,流行热,中文,00后90后,单人闯关,P0,是,
1196,周杰伦 - 轨迹.2.mp3,周杰伦,轨迹,烟花易冷,牧野,这里,流行热,中文,00后90后,单人闯关,P0,是,
1197,陈奕迅 - 十年.2.mp3,陈奕迅,十年,翩跹,背过手,好奇的猫,流行热,中文,00后90后,单人闯关,P0,是,
1198,童珺 - 天下有情人.2.mp3,童珺,天下有情人,一直,快乐帮,萌萌,流行热,中文,00后90后,单人闯关,P0,是,
1199,无限王者团 - 千灯之约.2.mp3,无限王者团,千灯之约,希望,启航,时间的过客,流行热,中文,00后90后,单人闯关,P0,是,
1200,G.E.M. 邓紫棋 - 泡沫.2.mp3,G.E.M. 邓紫棋,泡沫,去大理,饶舌歌,和平与爱,流行热,中文,00后90后,单人闯关,P0,是,
1201,蔡健雅 - 红色高跟鞋.2.mp3,蔡健雅,红色高跟鞋,婉君,千年等一回,窃爱,流行热,中文,00后90后,单人闯关,P0,是,
1202,弦子 - 天空之外.2.mp3,弦子,天空之外,想你想你,成都,西安爱情故事,流行热,中文,00后90后,单人闯关,P0,是,
1203,BEYOND - 灰色轨迹.2.mp3,BEYOND,灰色轨迹,等你下课,安心的温柔,美丽的牧羊姑娘,流行热,中文,00后90后,单人闯关,P0,是,
1204,周杰伦 - 算什么男人.2.mp3,周杰伦,算什么男人,生僻字,自导自演,河山,流行热,中文,00后90后,单人闯关,P0,是,
1205,毛不易 _ 徐航 - 像我这样的人 (Live).3.mp3,毛不易,像我这样的人,缘分一道桥,不要忘记我爱你,丑八怪,流行热,中文,00后90后,单人闯关,P0,是,
1206,G.E.M. 邓紫棋 - 画.2.mp3,G.E.M. 邓紫棋,画,梦想启动,造亿万吨光芒,吃胖了你就别跑了,流行热,中文,00后90后,单人闯关,P0,是,
1207,司南 - 烟雨行舟.2.mp3,司南,烟雨行舟,十年,Never,姑娘别旅行,流行热,中文,00后90后,单人闯关,P0,是,
1208,Sia _ Alan Walker - Move Your Body.2.mp3,Alan Walker,Move Your Body,Ayo,Habits,Purpose,流行热,英文,00后90后,单人闯关,P0,是,
1209,沙总啊 - 连备胎都不是 (回忆·女生版).2.mp3,沙总啊,连备胎都不是,小星球,空白格,霍元甲,流行热,中文,00后90后,单人闯关,P0,是,
1210,房东的猫 - 云烟成雨.2.mp3,房东的猫,云烟成雨,赢在江湖,宝应,龙卷风,流行热,中文,00后90后,单人闯关,P0,是,
1211,顾小洁 - 遇到 (女生版).2.mp3,顾小洁,遇到,大王叫我来巡山,不值得,笑忘歌,流行热,中文,00后90后,单人闯关,P0,是,
